"scenario_label","method_label","n_counts","mean_term1_correct","mean_term1_incorrect","mean_term2_correct","mean_term2_incorrect","mean_term1_diff","mean_term2_diff"
"Scenario 2: Narrow (α=200,300,1500)","Multinomial",4,0.393669679669223,0.383230114276183,0.198645493780152,0.186506678165573,0.0104395653930405,0.0121388156145789
"Scenario 2: Narrow (α=200,300,1500)","Multinomial",5,0.365935514321346,0.352976385233974,0.183496821353105,0.170214593999894,0.0129591290873712,0.0132822273532102
"Scenario 2: Narrow (α=200,300,1500)","Multinomial",10,0.290904358049721,0.269832326029945,0.146378435311008,0.123183298284974,0.0210720320197756,0.0231951370260346
"Scenario 2: Narrow (α=200,300,1500)","Multinomial",25,0.227214825781582,0.195918406961469,0.114197175319545,0.0791824608976293,0.0312964188201126,0.0350147144219158
"Scenario 2: Narrow (α=200,300,1500)","Multinomial",50,0.200661113254463,0.162997837988933,0.100651588555942,0.0564070744480977,0.0376632752655302,0.0442445141078444
"Scenario 2: Narrow (α=200,300,1500)","Multinomial",100,0.185727210356995,0.143504428666519,0.093256939874382,0.0403584980083357,0.042222781690476,0.0528984418660463
"Scenario 2: Narrow (α=200,300,1500)","Multinomial",500,0.172618431577054,0.125478634669449,0.0864114002366539,0.0196882668479976,0.0471397969076044,0.0667231333886564
"Scenario 2: Narrow (α=200,300,1500)","Non-Multinomial",1,0.527778965473488,0.520897260460973,0.0847443054351856,0.00877952853277755,0.00688170501251489,0.0759647769024081
"Scenario 2: Narrow (α=200,300,1500)","Non-Multinomial",2,0.426952296124061,0.418408454895941,0.0847443054351856,0.00877952853277755,0.00854384122811976,0.0759647769024081
"Scenario 2: Narrow (α=200,300,1500)","Non-Multinomial",3,0.362605144905264,0.348657926120339,0.0847443054351856,0.00877952853277755,0.0139472187849257,0.0759647769024081
"Scenario 2: Narrow (α=200,300,1500)","Non-Multinomial",4,0.321476560423132,0.301548695655838,0.0847443054351856,0.00877952853277755,0.019927864767294,0.0759647769024081
"Scenario 2: Narrow (α=200,300,1500)","Non-Multinomial",5,0.297026989894543,0.274604036724015,0.0847443054351856,0.00877952853277755,0.0224229531705285,0.0759647769024081
"Scenario 2: Narrow (α=200,300,1500)","Non-Multinomial",10,0.240710679689292,0.210721949591721,0.0847443054351856,0.00877952853277755,0.0299887300975707,0.0759647769024081
"Scenario 2: Narrow (α=200,300,1500)","Non-Multinomial",25,0.200806363558947,0.162539663411362,0.0847443054351856,0.00877952853277755,0.0382667001475853,0.0759647769024081
"Scenario 2: Narrow (α=200,300,1500)","Non-Multinomial",50,0.185848304026825,0.143181397466715,0.0847443054351856,0.00877952853277755,0.0426669065601104,0.0759647769024081
"Scenario 2: Narrow (α=200,300,1500)","Non-Multinomial",100,0.177825100594853,0.13248647444148,0.0847443054351856,0.00877952853277755,0.0453386261533724,0.0759647769024081
"Scenario 2: Narrow (α=200,300,1500)","Non-Multinomial",500,0.17093711982588,0.122981195600968,0.0847443054351856,0.00877952853277755,0.0479559242249112,0.0759647769024081
"Scenario 3: Dispersed (α=0.4,0.6,3)","Multinomial",1,0.569351745325419,0.569094330172796,0.289889583092617,0.289624955450026,0.000257415152623223,0.000264627642591275
"Scenario 3: Dispersed (α=0.4,0.6,3)","Multinomial",2,0.483931987774852,0.495210929258614,0.245615535037302,0.255338221144676,-0.0112789414837619,-0.0097226861073742
"Scenario 3: Dispersed (α=0.4,0.6,3)","Multinomial",3,0.432121961389917,0.453393113169055,0.217124303036444,0.234431853894677,-0.0212711517791378,-0.0173075508582336
"Scenario 3: Dispersed (α=0.4,0.6,3)","Multinomial",4,0.393428528678129,0.422881037783838,0.197977302427794,0.225166905859959,-0.0294525091057088,-0.0271896034321648
"Scenario 3: Dispersed (α=0.4,0.6,3)","Multinomial",5,0.36487585234641,0.400852715506898,0.183359541825818,0.217403513659948,-0.0359768631604875,-0.0340439718341294
"Scenario 3: Dispersed (α=0.4,0.6,3)","Multinomial",10,0.290492590880764,0.34607989608774,0.145763477767783,0.195005754147839,-0.0555873052069762,-0.0492422763800553
"Scenario 3: Dispersed (α=0.4,0.6,3)","Multinomial",25,0.227088123210698,0.302657108875439,0.113933061658931,0.179317933355251,-0.0755689856647416,-0.0653848716963197
"Scenario 3: Dispersed (α=0.4,0.6,3)","Multinomial",50,0.200623318097895,0.286072142126347,0.100375498785099,0.173529811850027,-0.085448824028452,-0.0731543130649279
"Scenario 3: Dispersed (α=0.4,0.6,3)","Multinomial",100,0.185728328615645,0.277235823590603,0.0925560406308986,0.170827387013996,-0.091507494974958,-0.0782713463830977
"Scenario 3: Dispersed (α=0.4,0.6,3)","Multinomial",500,0.173118880318554,0.270339762293,0.0862702447544757,0.168396582112605,-0.0972208819744455,-0.0821263373581298
"Scenario 3: Dispersed (α=0.4,0.6,3)","Non-Multinomial",1,0.523218638504677,0.537435733512415,0.0859110521922825,0.164415220301141,-0.0142170950077379,-0.0785041681088588
"Scenario 3: Dispersed (α=0.4,0.6,3)","Non-Multinomial",2,0.422348611659826,0.446789899752402,0.0859110521922825,0.164415220301141,-0.0244412880925762,-0.0785041681088588
"Scenario 3: Dispersed (α=0.4,0.6,3)","Non-Multinomial",3,0.361768843871011,0.402036159081615,0.0859110521922825,0.164415220301141,-0.0402673152106039,-0.0785041681088588
"Scenario 3: Dispersed (α=0.4,0.6,3)","Non-Multinomial",4,0.322487213167834,0.373541065324156,0.0859110521922825,0.164415220301141,-0.051053852156322,-0.0785041681088588
"Scenario 3: Dispersed (α=0.4,0.6,3)","Non-Multinomial",5,0.296470615612554,0.354364551572088,0.0859110521922825,0.164415220301141,-0.0578939359595346,-0.0785041681088588
"Scenario 3: Dispersed (α=0.4,0.6,3)","Non-Multinomial",10,0.240540597168011,0.313987649193311,0.0859110521922825,0.164415220301141,-0.0734470520253002,-0.0785041681088588
