"scenario_label","method_label","n_counts","mean_term1_correct","mean_term1_incorrect","mean_term2_correct","mean_term2_incorrect","mean_term1_diff","mean_term2_diff"
"S3: Extreme Dispersed (20x)","Multinomial",500,0.188886713621894,0.499957136265243,0.0955315861592746,0.325838969429593,-0.31107042264335,-0.230307383270318
"S3: Extreme Dispersed (20x)","Non-Multinomial",1,0.822601969556,0.880682482493385,0.0917303873935372,0.324389525466793,-0.0580805129373847,-0.232659138073256
"S3: Extreme Dispersed (20x)","Non-Multinomial",2,0.563611381962555,0.701621946377571,0.0917303873935372,0.324389525466793,-0.138010564415016,-0.232659138073256
"S3: Extreme Dispersed (20x)","Non-Multinomial",3,0.457605135058184,0.63710667685676,0.0917303873935372,0.324389525466793,-0.179501541798576,-0.232659138073256
"S3: Extreme Dispersed (20x)","Non-Multinomial",4,0.408645195980319,0.60352119953928,0.0917303873935372,0.324389525466793,-0.19487600355896,-0.232659138073256
"S3: Extreme Dispersed (20x)","Non-Multinomial",5,0.372622412117736,0.582460872231814,0.0917303873935372,0.324389525466793,-0.209838460114078,-0.232659138073256
"S3: Extreme Dispersed (20x)","Non-Multinomial",10,0.293483428215472,0.54144555633374,0.0917303873935372,0.324389525466793,-0.247962128118268,-0.232659138073256
"S3: Extreme Dispersed (20x)","Non-Multinomial",25,0.23381599874798,0.515865970401048,0.0917303873935372,0.324389525466793,-0.282049971653068,-0.232659138073256
"S3: Extreme Dispersed (20x)","Non-Multinomial",50,0.210442124403222,0.507247206599641,0.0917303873935372,0.324389525466793,-0.296805082196419,-0.232659138073256
"S3: Extreme Dispersed (20x)","Non-Multinomial",100,0.197229914207352,0.502788543815407,0.0917303873935372,0.324389525466793,-0.305558629608056,-0.232659138073256
"S3: Extreme Dispersed (20x)","Non-Multinomial",500,0.186266726501862,0.499259060255533,0.0917303873935372,0.324389525466793,-0.312992333753672,-0.232659138073256
"S4: Moderate Narrow (5x)","Multinomial",1,0.942715793053806,0.942868909956204,0.471268284884518,0.471359473375034,-0.000153116902398152,-9.1188490516092e-05
"S4: Moderate Narrow (5x)","Multinomial",2,0.717119829353262,0.712336246553143,0.360520158007021,0.35197841157418,0.00478358280011977,0.00854174643284089
"S4: Moderate Narrow (5x)","Multinomial",3,0.603634875521285,0.595985116580287,0.302026565664319,0.292388341552253,0.00764975894099842,0.009638224112066
"S4: Moderate Narrow (5x)","Multinomial",4,0.532421121206512,0.522683637593572,0.266702000530535,0.254437066927974,0.00973748361293983,0.012264933602561
"S4: Moderate Narrow (5x)","Multinomial",5,0.484082955431459,0.472668238551989,0.242778778903962,0.229253399985587,0.0114147168794702,0.0135253789183749
"S4: Moderate Narrow (5x)","Multinomial",10,0.36718539942839,0.350260248363271,0.184188855134974,0.165157554784294,0.0169251510651193,0.0190313003506795
"S4: Moderate Narrow (5x)","Multinomial",25,0.272362096731971,0.247631504776544,0.136331779606573,0.10941428567554,0.0247305919554274,0.0269174939310332
"S4: Moderate Narrow (5x)","Multinomial",50,0.232343453312421,0.202178982996545,0.11604912041733,0.0825836738102083,0.0301644703158768,0.0334654466071217
"S4: Moderate Narrow (5x)","Multinomial",100,0.209489990052635,0.175096220688268,0.104170727306079,0.0656256648177237,0.0343937693643673,0.0385450624883553
"S4: Moderate Narrow (5x)","Multinomial",500,0.189406821035458,0.150127394085835,0.0942934362757612,0.0476594197211571,0.0392794269496225,0.0466340165546041
"S4: Moderate Narrow (5x)","Non-Multinomial",1,0.822736264718765,0.817790074351347,0.0915073880378273,0.0414450450061315,0.00494619036741831,0.0500623430316957
"S4: Moderate Narrow (5x)","Non-Multinomial",2,0.56346087832247,0.554471550368138,0.0915073880378273,0.0414450450061315,0.00898932795433252,0.0500623430316957
"S4: Moderate Narrow (5x)","Non-Multinomial",3,0.456984730010327,0.435962123374949,0.0915073880378273,0.0414450450061315,0.0210226066353776,0.0500623430316957
"S4: Moderate Narrow (5x)","Non-Multinomial",4,0.406124501138014,0.391987291915697,0.0915073880378273,0.0414450450061315,0.0141372092223162,0.0500623430316957
"S4: Moderate Narrow (5x)","Non-Multinomial",5,0.370855267060287,0.354137680003307,0.0915073880378273,0.0414450450061315,0.0167175870569803,0.0500623430316957
"S4: Moderate Narrow (5x)","Non-Multinomial",10,0.29120547439504,0.267962575477133,0.0915073880378273,0.0414450450061315,0.0232428989179063,0.0500623430316957
"S4: Moderate Narrow (5x)","Non-Multinomial",25,0.232147708681675,0.201777166246011,0.0915073880378273,0.0414450450061315,0.0303705424356646,0.0500623430316957
"S4: Moderate Narrow (5x)","Non-Multinomial",50,0.209308154173717,0.174785150572599,0.0915073880378273,0.0414450450061315,0.034523003601118,0.0500623430316957
