"scenario_short","alpha_type","n_counts","method","alpha_true","alpha_wrong","discrimination_pct","mean_es_diff","mean_term1_diff","mean_term2_diff","term2_contrib_ratio"
"scenario1_mislocation","symmetric",100,"mn","10_10_10","5_10_15",84.65,-0.0966,-0.0916,0.0049,0.05
"scenario1_mislocation","symmetric",500,"mn","10_10_10","5_10_15",87.04,-0.1048,-0.0993,0.0055,0.05
"scenario1_mislocation","symmetric",1,"non-mn","10_10_10","5_10_15",66.7,-0.0214,-0.0164,0.0051,0.24
"scenario1_mislocation","symmetric",2,"non-mn","10_10_10","5_10_15",66.8,-0.0349,-0.0299,0.0051,0.14
"scenario1_mislocation","symmetric",3,"non-mn","10_10_10","5_10_15",61.99,-0.0523,-0.0472,0.0051,0.1
"scenario1_mislocation","symmetric",4,"non-mn","10_10_10","5_10_15",62.09,-0.0539,-0.0488,0.0051,0.09
"scenario1_mislocation","symmetric",5,"non-mn","10_10_10","5_10_15",62.13,-0.0585,-0.0534,0.0051,0.09
"scenario1_mislocation","symmetric",10,"non-mn","10_10_10","5_10_15",70.23,-0.0731,-0.0681,0.0051,0.07
"scenario1_mislocation","symmetric",25,"non-mn","10_10_10","5_10_15",78.8,-0.0886,-0.0836,0.0051,0.06
"scenario1_mislocation","symmetric",50,"non-mn","10_10_10","5_10_15",82.12,-0.0965,-0.0914,0.0051,0.05
"scenario1_mislocation","symmetric",100,"non-mn","10_10_10","5_10_15",84.67,-0.1015,-0.0965,0.0051,0.05
"scenario1_mislocation","symmetric",500,"non-mn","10_10_10","5_10_15",86.91,-0.1053,-0.1003,0.0051,0.05
"scenario2_moderate_dispersed","symmetric",1,"mn","10_10_10","2_2_2",51.3,-8e-04,-8e-04,0,0.01
"scenario2_moderate_dispersed","symmetric",2,"mn","10_10_10","2_2_2",55.79,0,-0.0212,-0.0212,0.5
"scenario2_moderate_dispersed","symmetric",3,"mn","10_10_10","2_2_2",47.41,0.0035,-0.0333,-0.0368,0.52
"scenario2_moderate_dispersed","symmetric",4,"mn","10_10_10","2_2_2",60.01,-0.0022,-0.0417,-0.0395,0.49
"scenario2_moderate_dispersed","symmetric",5,"mn","10_10_10","2_2_2",55.19,2e-04,-0.0482,-0.0484,0.5
